,ALV.DE,DTE.DE,BN.PA,IBE.MC,ENI.MI,BAS.DE,G.MI,BAYN.DE,ASML.AS,DG.PA,AIR.PA,ENGI.PA,CA.PA,CS.PA,ABI.BR,EOAN.DE,BMW.DE,BNP.PA,ISP.MI,INGA.AS,ENEL.MI,BBVA.MC,DBK.DE,GLE.PA
ALV.DE,1.0,0.5290354190392101,0.42357176911686634,0.5473987377584834,0.6058434052590279,0.6729042583523457,0.6966300365789205,0.4956060671387553,0.39967150762933373,0.6729187657869274,0.516573933326916,0.5445421717351717,0.45304359729803584,0.8080345880545731,0.5063324359286048,0.5057709571304592,0.5973607925714569,0.7227337778302458,0.6706227060447519,0.745427490839814,0.5684051944631128,0.6572485693689485,0.6826094296935624,0.6867819431645256
DTE.DE,0.5290354190392101,1.0,0.4546744527660479,0.49610125706485875,0.47265249169549656,0.4736527365458595,0.4878818160898605,0.4384741955306296,0.31668346508202594,0.5127717843740852,0.382704069849248,0.5001855174199286,0.4034910567644332,0.48305695004214705,0.4120759828987481,0.4799504925959413,0.41662938888189854,0.4379731041861758,0.4692506118225715,0.43391058913374747,0.5236993756347308,0.45312870314998466,0.42087652843576423,0.4164166887590203
BN.PA,0.42357176911686634,0.4546744527660479,1.0,0.4371819902214489,0.39552109316794837,0.41413614559389506,0.392871634725877,0.38744457838541,0.24819759182284604,0.46823619836361713,0.34842277861758775,0.45564110888080483,0.41740655437029944,0.3984032258758907,0.46139722709573516,0.41828987547429847,0.35877541182601774,0.36592841471940896,0.36374067852491243,0.34410375463253096,0.45128452046100664,0.3566934061170366,0.31765105527500587,0.3329602734558605
IBE.MC,0.5473987377584834,0.49610125706485875,0.4371819902214489,1.0,0.5036235964869121,0.4356949284778235,0.569375122529091,0.3724240996272567,0.29448965208637634,0.5639519327727874,0.32814863615591183,0.6172066456987391,0.4253037723091753,0.5629575351410664,0.38608670949268853,0.5722238031037694,0.3939863985911045,0.5082654040022331,0.5497442742935297,0.49474946690421256,0.7140807135829623,0.5713691942381095,0.43486047098285935,0.48840613907076025
ENI.MI,0.6058434052590279,0.47265249169549656,0.39552109316794837,0.5036235964869121,1.0,0.5932740889768016,0.6306902187312701,0.4635738515144725,0.3598617804199631,0.5797353178372878,0.4446996012208614,0.5386821691494585,0.4422252324610502,0.6032196885343197,0.45020450380644356,0.46594038781373837,0.5175378916619968,0.5869476027209899,0.5952812208257264,0.5872842243565413,0.6022772355921173,0.5917235227465838,0.5387768640647332,0.5715000269342321
BAS.DE,0.6729042583523457,0.4736527365458595,0.41413614559389506,0.4356949284778235,0.5932740889768016,1.0,0.5653045014840584,0.5592407869554675,0.4300751338961125,0.6351100020035139,0.4897721621730975,0.4872424775846851,0.4305380582394977,0.6319929727135661,0.4574475439089435,0.4429783129146322,0.673570702590248,0.6066339018301187,0.5688451537076595,0.6224682241038241,0.5084450389974935,0.5900401684239549,0.610135192578989,0.5931311873139614
G.MI,0.6966300365789205,0.4878818160898605,0.392871634725877,0.569375122529091,0.6306902187312701,0.5653045014840584,1.0,0.44124879680420936,0.35827862275233835,0.599040532646891,0.4403325241370323,0.5383481203066163,0.43573055755697454,0.7326052771314577,0.4101865422480462,0.47574671374757643,0.5278516353292734,0.6707624753361242,0.7491345820173749,0.6590822884632204,0.6509201035554865,0.6741486202197644,0.6250922827985755,0.6691411218654959
BAYN.DE,0.4956060671387553,0.4384741955306296,0.38744457838541,0.3724240996272567,0.4635738515144725,0.5592407869554675,0.44124879680420936,1.0,0.32618450686608996,0.48524612230912717,0.3655282974988552,0.4135202202506636,0.3750735844186699,0.4489524930812071,0.41254429653174723,0.37768847765235636,0.4729941009516765,0.44930495561742756,0.4293592939875716,0.4430875346274376,0.4198854135085325,0.4221435604572804,0.4394298029052271,0.4297148298582926
ASML.AS,0.39967150762933373,0.31668346508202594,0.24819759182284604,0.29448965208637634,0.3598617804199631,0.4300751338961125,0.35827862275233835,0.32618450686608996,1.0,0.42430555594115277,0.40435944929888007,0.3213169170713197,0.22433622377431653,0.3802596310278929,0.3158556130906447,0.27307823426329897,0.41564256713522013,0.3665173029169533,0.35562460493614323,0.3766679243951171,0.3447579049476998,0.3716628738026826,0.37162071476795916,0.3511219667052137
DG.PA,0.6729187657869274,0.5127717843740852,0.46823619836361713,0.5639519327727874,0.5797353178372878,0.6351100020035139,0.599040532646891,0.48524612230912717,0.42430555594115277,1.0,0.5708149515705433,0.584029851800239,0.4702284662696308,0.6793618431796046,0.5094751001855893,0.48980791085076403,0.5778915780398837,0.6425245471827485,0.5943918141954583,0.6245872282611893,0.5933243532461211,0.6042535067989255,0.5586699675398183,0.6293431580519533
